no,cpu0,cpu1,cpu2,cpu3,cpu_max,gpu_act,gpu_req
0,792,792,792,792,792,750,700
1,817,832,858,829,858,700,650
2,817,830,892,867,892,650,617
3,889,796,833,804,889,400,583
4,796,820,811,835,835,400,533
5,828,858,790,790,858,750,700
6,811,798,796,795,811,350,667
7,792,797,792,816,816,400,633
8,830,804,806,816,830,350,600
9,801,860,885,813,885,400,550
10,818,880,844,810,880,100,100
11,794,792,792,792,794,100,100
12,1135,1032,1035,1428,1428,100,100
13,792,799,952,977,977,100,100
14,1062,897,1157,929,1157,
